Mean,Kurtosis,Date,Ligand,Cell,Time,Skew,Variance,Dose
1508.615966796875,37.78718948364258,2019-3-19,IL2,Tcells,1.0,5.793734550476074,49391928.0,0.345679
284.035400390625,33.82475662231445,2019-3-19,IL2,Tcells,1.0,4.990939140319824,11855882.0,0.115226
0.0,46.92485427856445,2019-3-19,IL2,Tcells,1.0,6.05592155456543,8875134.0,0.038409
38.57470703125,16.06983184814453,2019-3-19,IL2,Tcells,1.0,3.441246747970581,6280300.5,0.012803
82.53759765625,13.761707305908203,2019-3-19,IL2,Tcells,1.0,2.8343615531921387,3765439.25,0.004268
50.901123046875,12.72453498840332,2019-3-19,IL2,Tcells,1.0,3.2761476039886475,6621980.5,0.001423
47.878173828125,3.7542858123779297,2019-3-19,IL2,Tcells,1.0,1.8480494022369385,5602578.5,0.000474
25194.48828125,0.09632706642150879,2019-3-19,IL2,T-regs,1.0,0.5509098172187805,469721568.0,84.0
12998.0634765625,1.3162178993225098,2019-3-19,IL2,T-regs,1.0,1.2675126791000366,261368656.0,28.0
9188.8544921875,3.1922550201416016,2019-3-19,IL2,T-regs,1.0,1.6391593217849731,144728768.0,9.333333
15713.8603515625,3.8812670707702637,2019-3-19,IL2,T-regs,1.0,1.3992844820022583,271630432.0,3.111
6071.75,13.705623626708984,2019-3-19,IL2,T-regs,1.0,3.3654377460479736,139249056.0,1.037037
4451.78515625,14.689233779907227,2019-3-19,IL2,T-regs,1.0,3.635533571243286,132735288.0,0.345679
2162.9052734375,54.14641189575195,2019-3-19,IL2,T-regs,1.0,7.342825412750244,106261648.0,0.115226
1694.2685546875,31.566951751708984,2019-3-19,IL2,T-regs,1.0,5.647045612335205,68974240.0,0.038409
349.00927734375,-0.35862207412719727,2019-3-19,IL2,T-regs,1.0,0.26081281900405884,1914260.75,0.012803
1030.880859375,33.320823669433594,2019-3-19,IL2,T-regs,1.0,5.569504737854004,29455010.0,0.004268
0.0,0.41252708435058594,2019-3-19,IL2,T-regs,1.0,0.6288838982582092,2910086.25,0.001423
234.900390625,21.883066177368164,2019-3-19,IL2,T-regs,1.0,3.4801056385040283,4782771.0,0.000474
0.0,0.0,2019-3-19,IL2,Mem Treg,1.0,0.0,0.0,0.004268
2439.5,-2.0,2019-3-19,IL2,Mem Treg,1.0,0.0,84972.25,0.001423
3372.1943359375,13.994430541992188,2019-3-19,IL2,Mem Treg,1.0,3.5749125480651855,12436655.0,0.000474
24624.17578125,-0.3210105895996094,2019-3-19,IL2,Naive Treg,1.0,0.43543121218681335,440894464.0,84.0
12327.720703125,1.4004416465759277,2019-3-19,IL2,Naive Treg,1.0,1.3005942106246948,246984416.0,28.0
8149.0810546875,3.142632484436035,2019-3-19,IL2,Naive Treg,1.0,1.5960731506347656,118754624.0,9.333333
14621.458984375,-0.8775832653045654,2019-3-19,IL2,Naive Treg,1.0,0.42369771003723145,196616720.0,3.111
5534.87890625,16.359209060668945,2019-3-19,IL2,Naive Treg,1.0,3.5012500286102295,112645864.0,1.037037
4409.5087890625,14.689233779907227,2019-3-19,IL2,Naive Treg,1.0,3.635533571243286,132735288.0,0.345679
848.22119140625,2.565609931945801,2019-3-19,IL2,Naive Treg,1.0,1.4519948959350586,4330970.0,0.115226
905.64501953125,56.820457458496094,2019-3-19,IL2,Naive Treg,1.0,7.339182376861572,28698602.0,0.038409
306.73291015625,-0.35862207412719727,2019-3-19,IL2,Naive Treg,1.0,0.26081281900405884,1914260.75,0.012803
988.6044921875,33.320823669433594,2019-3-19,IL2,Naive Treg,1.0,5.569504737854004,29455010.0,0.004268
0.0,0.41061878204345703,2019-3-19,IL2,Naive Treg,1.0,0.596648097038269,2909224.0,0.001423
264.48486328125,23.1246337890625,2019-3-19,IL2,Naive Treg,1.0,3.48260760307312,4141961.0,0.000474
24666.947265625,0.746262788772583,2019-3-19,IL2,T-helper,1.0,0.8819712996482849,505255744.0,84.0
10452.8203125,3.3520021438598633,2019-3-19,IL2,T-helper,1.0,1.7038830518722534,179394144.0,28.0
9270.8798828125,3.491464614868164,2019-3-19,IL2,T-helper,1.0,1.7087918519973755,124059288.0,9.333333
13061.029296875,2.441300392150879,2019-3-19,IL2,T-helper,1.0,1.643466591835022,326445760.0,3.111
8323.599609375,31.63719940185547,2019-3-19,IL2,T-helper,1.0,4.593943119049072,338016320.0,1.037037
4601.4501953125,10.80565071105957,2019-3-19,IL2,T-helper,1.0,3.241306781768799,126380584.0,0.345679
994.7958984375,26.197917938232422,2019-3-19,IL2,T-helper,1.0,4.532417297363281,11522329.0,0.115226
957.295166015625,16.628849029541016,2019-3-19,IL2,T-helper,1.0,3.2521424293518066,6332116.5,0.038409
494.259033203125,4.122208595275879,2019-3-19,IL2,T-helper,1.0,1.6360540390014648,2452411.75,0.012803
0.0,0.5428180694580078,2019-3-19,IL2,T-helper,1.0,0.7804803252220154,1628471.0,0.004268
333.171142578125,0.32677173614501953,2019-3-19,IL2,T-helper,1.0,0.6323785185813904,1751111.875,0.001423
79.14453125,38.79832077026367,2019-3-19,IL2,T-helper,1.0,4.022317886352539,2700926.0,0.000474
33939.625,-0.8280420303344727,2019-3-19,IL2,Mem Th,1.0,0.6014665365219116,983609344.0,84.0
16796.2890625,2.2803306579589844,2019-3-19,IL2,Mem Th,1.0,1.3781369924545288,258791200.0,28.0
14021.775390625,1.388481616973877,2019-3-19,IL2,Mem Th,1.0,1.324522852897644,201923600.0,9.333333
9998.7001953125,-0.7974793910980225,2019-3-19,IL2,Mem Th,1.0,0.9539201259613037,214546384.0,3.111
33310.91015625,0.29125356674194336,2019-3-19,IL2,Mem Th,1.0,1.1016287803649902,1455806720.0,1.037037
14760.833984375,-1.082026720046997,2019-3-19,IL2,Mem Th,1.0,0.508521556854248,248177888.0,0.345679
5658.033203125,1.3182482719421387,2019-3-19,IL2,Mem Th,1.0,1.6018905639648438,65623492.0,0.115226
37.7833251953125,-0.6837418079376221,2019-3-19,IL2,Mem Th,1.0,1.1325937509536743,1722243.125,0.038409
1305.6583251953125,1.4908928871154785,2019-3-19,IL2,Mem Th,1.0,1.5953235626220703,4838385.0,0.012803
0.0,-0.5409245491027832,2019-3-19,IL2,Mem Th,1.0,0.03990987315773964,724334.0625,0.004268
113.7833251953125,-0.9275481700897217,2019-3-19,IL2,Mem Th,1.0,0.5922605991363525,481494.6875,0.001423
462.2674560546875,13.992210388183594,2019-3-19,IL2,Mem Th,1.0,2.6099815368652344,1877484.125,0.000474
23509.7734375,0.7375645637512207,2019-3-19,IL2,Naive Th,1.0,0.7842755317687988,434666784.0,84.0
9115.138671875,3.24294376373291,2019-3-19,IL2,Naive Th,1.0,1.7386847734451294,152999456.0,28.0
7880.96923828125,3.484814167022705,2019-3-19,IL2,Naive Th,1.0,1.6413508653640747,91443536.0,9.333333
13201.62890625,2.443547248840332,2019-3-19,IL2,Naive Th,1.0,1.6542044878005981,332135712.0,3.111
7370.01416015625,43.105716705322266,2019-3-19,IL2,Naive Th,1.0,5.1822662353515625,276523744.0,1.037037
3622.6083984375,17.156166076660156,2019-3-19,IL2,Naive Th,1.0,4.046525478363037,105718288.0,0.345679
484.505126953125,11.401878356933594,2019-3-19,IL2,Naive Th,1.0,2.629845142364502,3814443.0,0.115226
949.8798828125,16.6679630279541,2019-3-19,IL2,Naive Th,1.0,3.290781259536743,6397486.5,0.038409
405.701416015625,4.477184295654297,2019-3-19,IL2,Naive Th,1.0,1.5922259092330933,2225100.75,0.012803
0.0,0.42374563217163086,2019-3-19,IL2,Naive Th,1.0,0.764177680015564,1642054.75,0.004268
291.245361328125,0.3039438724517822,2019-3-19,IL2,Naive Th,1.0,0.5980072021484375,1755708.875,0.001423
363.137451171875,47.329898834228516,2019-3-19,IL2,Naive Th,1.0,4.786036491394043,3068042.5,0.000474
23509.7734375,0.7375645637512207,2019-3-19,IL2,Tcells,0.5,0.7842755317687988,434666784.0,84.0
9115.138671875,3.24294376373291,2019-3-19,IL2,Tcells,0.5,1.7386847734451294,152999456.0,28.0
7880.96923828125,3.484814167022705,2019-3-19,IL2,Tcells,0.5,1.6413508653640747,91443536.0,9.333333
13201.62890625,2.443547248840332,2019-3-19,IL2,Tcells,0.5,1.6542044878005981,332135712.0,3.111
7370.01416015625,43.105716705322266,2019-3-19,IL2,Tcells,0.5,5.1822662353515625,276523744.0,1.037037
3622.6083984375,17.156166076660156,2019-3-19,IL2,Tcells,0.5,4.046525478363037,105718288.0,0.345679
484.505126953125,11.401878356933594,2019-3-19,IL2,Tcells,0.5,2.629845142364502,3814443.0,0.115226
949.8798828125,16.6679630279541,2019-3-19,IL2,Tcells,0.5,3.290781259536743,6397486.5,0.038409
405.701416015625,4.477184295654297,2019-3-19,IL2,Tcells,0.5,1.5922259092330933,2225100.75,0.012803
0.0,0.42374563217163086,2019-3-19,IL2,Tcells,0.5,0.764177680015564,1642054.75,0.004268
291.245361328125,0.3039438724517822,2019-3-19,IL2,Tcells,0.5,0.5980072021484375,1755708.875,0.001423
363.137451171875,47.329898834228516,2019-3-19,IL2,Tcells,0.5,4.786036491394043,3068042.5,0.000474
25588.078125,-0.23555541038513184,2019-3-19,IL2,T-regs,0.5,0.6499506235122681,626114944.0,84.0
